Country,Region,Year,Gender,Population Density,Health Expenditure Govt,Health Expenditure Pvt,Health Expenditure Indv,Life Expectancy,Education Expenditure,Mean years in school,Average Income,Employment Rate,Income Inequality,Child Mortality Rate,Adult Mortality Rate,Suicides,Murders
Comoros,SUB-SAHARAN AFRICA,2000,Male,291.0,71.2,28.8,82.0,57.9,3.65,5.46,702.0,49.6,34.1,416.0,450.0,21.7,34.3
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,2000,Male,20.8,4.04,96.0,50.4,48.6,1.04,5.88,503.0,71.0,40.4,423.0,438.0,2670.0,1850.0
"Congo, Rep.",SUB-SAHARAN AFRICA,2000,Male,9.45,59.6,40.4,52.7,50.4,4.51,7.14,590.0,56.8,56.4,409.0,343.0,249.0,170.0
Costa Rica,LATIN AMER. & CARIB,2000,Male,76.9,76.5,23.5,31.6,75.1,4.75,8.0,776.0,77.0,42.1,441.0,184.0,260.0,247.0
Cote d'Ivoire,SUB-SAHARAN AFRICA,2000,Male,52.5,22.6,77.4,58.5,46.1,3.94,4.95,842.0,78.3,40.3,428.0,437.0,1450.0,344.0
Croatia,EASTERN EUROPE,2000,Male,79.1,86.5,13.5,13.9,71.2,3.49,8.49,1170.0,53.4,16.3,367.0,259.0,1050.0,113.0
Cuba,LATIN AMER. & CARIB,2000,Male,105.0,89.6,10.4,16.2,74.7,7.28,10.6,959.0,65.7,40.0,397.0,158.0,1960.0,678.0
Cyprus,NEAR EAST,2000,Male,102.0,35.8,64.2,55.9,75.9,4.91,11.7,855.0,69.6,30.1,339.0,144.0,44.7,19.1
Czech Republic,EASTERN EUROPE,2000,Male,133.0,90.9,9.11,10.2,71.5,3.42,10.9,1920.0,64.2,22.8,380.0,225.0,1790.0,202.0
Denmark,WESTERN EUROPE,2000,Male,126.0,82.5,17.5,15.4,74.3,7.59,11.1,2050.0,68.8,37.2,368.0,159.0,957.0,78.8
Djibouti,SUB-SAHARAN AFRICA,2000,Male,31.0,60.0,40.0,51.3,55.5,9.27,7.17,774.0,72.9,36.5,445.0,382.0,25.8,47.8
Dominica,LATIN AMER. & CARIB,2000,Male,92.9,70.4,29.6,34.1,0.0,5.0,10.3,664.0,0.0,40.0,139.0,154.0,2.38,3.57
Dominican Republic,LATIN AMER. & CARIB,2000,Male,177.0,20.9,79.1,55.3,67.7,2.06,7.68,668.0,77.7,39.9,445.0,247.0,464.0,970.0
Ecuador,LATIN AMER. & CARIB,2000,Male,50.8,55.4,44.6,63.9,70.0,1.18,8.27,530.0,77.9,41.9,406.0,260.0,940.0,2310.0
Egypt,NORTHERN AFRICA,2000,Male,70.2,46.5,53.5,62.5,66.2,4.41,8.69,791.0,68.7,34.0,405.0,267.0,2040.0,337.0
El Salvador,LATIN AMER. & CARIB,2000,Male,283.0,38.5,61.5,51.0,64.3,2.54,7.26,976.0,72.6,41.2,462.0,327.0,568.0,3090.0
Equatorial Guinea,SUB-SAHARAN AFRICA,2000,Male,21.9,57.0,43.0,65.2,51.4,0.9,6.36,360.0,61.5,40.0,447.0,486.0,41.5,27.4
Eritrea,SUB-SAHARAN AFRICA,2000,Male,33.6,47.9,52.1,63.1,53.4,2.97,5.13,533.0,82.3,40.0,441.0,451.0,226.0,239.0
Estonia,BALTICS,2000,Male,33.0,89.8,10.2,20.4,64.7,4.97,8.46,948.0,56.6,47.8,362.0,256.0,481.0,193.0
Ethiopia,SUB-SAHARAN AFRICA,2000,Male,66.5,40.0,60.0,36.0,50.6,2.43,4.93,523.0,86.2,47.7,448.0,450.0,5290.0,6780.0
Fiji,OCEANIA,2000,Male,44.4,79.9,20.1,10.8,65.2,5.05,9.95,786.0,71.3,35.3,499.0,287.0,102.0,45.8
Finland,WESTERN EUROPE,2000,Male,17.1,71.7,28.3,23.2,74.2,5.4,10.5,1260.0,59.4,47.1,395.0,254.0,1300.0,139.0
France,WESTERN EUROPE,2000,Male,109.0,79.7,20.3,7.27,75.1,4.89,10.7,1830.0,57.5,73.3,333.0,205.0,13600.0,812.0
Gabon,SUB-SAHARAN AFRICA,2000,Male,4.78,37.9,62.1,53.1,58.3,3.06,8.01,391.0,49.2,46.3,436.0,408.0,105.0,60.5
Gambia,SUB-SAHARAN AFRICA,2000,Male,122.0,29.1,70.9,35.3,54.9,1.32,5.16,817.0,64.1,39.6,460.0,514.0,44.8,15.4
Georgia,C.W. OF IND. STATES,2000,Male,68.0,5.21,94.8,81.0,68.1,3.78,11.0,544.0,65.6,26.9,389.0,255.0,315.0,176.0
Germany,WESTERN EUROPE,2000,Male,234.0,81.4,18.6,12.1,74.8,4.08,10.8,1750.0,62.6,50.8,340.0,158.0,13500.0,979.0
Ghana,SUB-SAHARAN AFRICA,2000,Male,83.2,57.5,42.5,53.9,56.2,4.58,6.77,701.0,68.9,47.0,471.0,379.0,903.0,734.0
Greece,WESTERN EUROPE,2000,Male,86.4,52.0,48.0,39.4,75.9,2.62,11.0,1390.0,61.2,51.6,361.0,178.0,436.0,124.0
Grenada,LATIN AMER. & CARIB,2000,Male,299.0,43.5,56.5,62.3,68.0,4.74,9.08,960.0,0.0,40.0,439.0,266.0,5.96,5.48
Guatemala,LATIN AMER. & CARIB,2000,Male,109.0,36.0,64.0,58.8,64.7,1.88,6.01,858.0,84.7,37.4,503.0,337.0,1170.0,3840.0
Guinea,SUB-SAHARAN AFRICA,2000,Male,35.8,20.5,79.5,54.0,51.2,1.91,4.08,451.0,64.2,34.4,449.0,503.0,421.0,218.0
Guinea-Bissau,SUB-SAHARAN AFRICA,2000,Male,44.2,24.8,75.3,39.3,51.2,2.21,3.47,778.0,75.9,49.5,417.0,453.0,91.5,83.5
Guyana,LATIN AMER. & CARIB,2000,Male,3.83,79.2,20.8,17.5,62.1,6.6,8.53,1220.0,70.7,39.5,429.0,301.0,162.0,139.0
Haiti,LATIN AMER. & CARIB,2000,Male,310.0,40.9,59.1,44.2,55.9,1.46,5.92,634.0,64.4,47.5,486.0,407.0,704.0,916.0
Honduras,LATIN AMER. & CARIB,2000,Male,58.3,53.7,46.3,44.8,68.1,3.92,6.36,675.0,84.5,58.5,393.0,349.0,201.0,1860.0
Hungary,EASTERN EUROPE,2000,Male,113.0,84.0,16.0,27.3,67.4,4.62,10.9,1250.0,53.8,36.2,368.0,199.0,3190.0,311.0
Iceland,WESTERN EUROPE,2000,Male,2.8,84.4,15.6,19.4,77.8,5.73,9.52,928.0,81.9,25.8,412.0,183.0,37.8,2.8
India,ASIA (EX. NEAR EAST),2000,Male,354.0,26.0,74.0,71.7,61.8,4.26,7.01,1050.0,79.0,32.1,509.0,370.0,202000.0,45000.0
Indonesia,ASIA (EX. NEAR EAST),2000,Male,117.0,35.7,64.3,43.7,64.6,1.53,8.07,996.0,79.9,40.8,444.0,267.0,7600.0,4350.0
Iran,ASIA (EX. NEAR EAST),2000,Male,40.6,44.8,55.2,59.6,69.2,4.01,9.74,978.0,65.4,59.2,506.0,339.0,4360.0,1800.0
Iraq,NEAR EAST,2000,Male,54.3,0.41,99.6,54.6,67.0,4.6,6.59,971.0,66.5,41.9,428.0,269.0,1740.0,1840.0
Ireland,WESTERN EUROPE,2000,Male,55.9,72.5,27.5,12.1,74.2,4.26,11.8,1450.0,68.3,38.6,348.0,184.0,505.0,39.9
Israel,NEAR EAST,2000,Male,278.0,69.2,30.8,29.5,76.7,5.98,12.7,881.0,62.0,34.7,448.0,155.0,580.0,192.0
Italy,WESTERN EUROPE,2000,Male,195.0,70.8,29.2,26.5,76.5,4.06,11.5,2570.0,56.1,56.1,456.0,176.0,5010.0,714.0
Jamaica,LATIN AMER. & CARIB,2000,Male,245.0,52.6,47.4,29.0,69.6,5.6,10.3,1170.0,68.7,41.3,390.0,182.0,54.8,396.0
Japan,ASIA (EX. NEAR EAST),2000,Male,350.0,82.3,17.7,15.9,77.7,3.05,13.0,1060.0,72.9,46.8,363.0,173.0,30700.0,1120.0
Jordan,NEAR EAST,2000,Male,57.5,62.1,37.9,39.1,70.4,4.21,10.5,977.0,60.6,36.9,421.0,285.0,176.0,194.0
Kazakhstan,C.W. OF IND. STATES,2000,Male,5.58,63.8,36.2,48.5,57.9,3.68,10.4,1150.0,68.8,35.3,497.0,342.0,5600.0,2960.0
Kenya,SUB-SAHARAN AFRICA,2000,Male,55.3,46.4,53.6,46.2,49.8,5.13,7.26,878.0,68.0,54.1,508.0,358.0,1420.0,2280.0
Kiribati,OCEANIA,2000,Male,104.0,95.0,4.99,0.151,61.1,6.1,8.11,555.0,0.0,37.0,437.0,360.0,18.4,2.74
Kuwait,NEAR EAST,2000,Male,115.0,81.9,18.1,22.3,72.4,5.19,9.66,1140.0,81.3,40.0,500.0,195.0,60.8,32.2
Lao,ASIA (EX. NEAR EAST),2000,Male,23.1,59.7,40.3,44.8,57.5,0.9,5.48,866.0,79.5,32.6,419.0,443.0,615.0,36.1
Latvia,BALTICS,2000,Male,38.3,66.3,33.7,47.7,64.0,4.99,9.95,759.0,55.2,45.0,405.0,258.0,828.0,290.0
Lebanon,NEAR EAST,2000,Male,316.0,28.3,71.7,57.8,72.8,1.7,8.45,1090.0,64.2,47.5,448.0,223.0,97.7,146.0
Lesotho,SUB-SAHARAN AFRICA,2000,Male,61.6,46.6,53.4,35.4,47.2,7.19,6.38,395.0,66.2,56.0,407.0,414.0,377.0,608.0
Liberia,SUB-SAHARAN AFRICA,2000,Male,29.9,27.8,72.2,69.6,51.8,3.9,4.85,798.0,53.6,36.5,429.0,490.0,185.0,77.1
Libya,NORTHERN AFRICA,2000,Male,3.04,49.6,50.4,51.3,68.9,2.14,7.56,1050.0,61.2,40.0,405.0,312.0,202.0,103.0
Lithuania,BALTICS,2000,Male,55.9,74.2,25.9,27.2,65.1,5.7,9.88,1280.0,54.4,44.6,459.0,251.0,1610.0,345.0
Luxembourg,WESTERN EUROPE,2000,Male,168.0,92.4,7.56,14.3,74.3,3.83,9.9,1460.0,64.8,33.8,357.0,236.0,67.8,6.83
Madagascar,SUB-SAHARAN AFRICA,2000,Male,27.1,53.6,46.4,36.6,57.3,2.11,4.3,574.0,84.2,38.8,437.0,418.0,890.0,461.0
Malawi,SUB-SAHARAN AFRICA,2000,Male,121.0,37.9,62.1,17.3,44.7,4.51,5.23,350.0,75.0,44.8,440.0,420.0,752.0,321.0
Malaysia,ASIA (EX. NEAR EAST),2000,Male,70.6,60.2,39.8,41.0,70.8,4.29,10.1,998.0,76.1,20.0,436.0,249.0,1630.0,546.0
Maldives,ASIA (EX. NEAR EAST),2000,Male,935.0,61.3,38.7,63.0,69.2,3.6,6.64,844.0,69.9,41.3,451.0,364.0,11.6,3.33
Mali,SUB-SAHARAN AFRICA,2000,Male,8.99,52.3,47.7,73.7,47.4,2.89,2.63,603.0,63.5,49.2,494.0,544.0,350.0,252.0
Malta,WESTERN EUROPE,2000,Male,1240.0,67.5,32.5,26.6,76.3,3.97,8.64,783.0,66.2,28.0,451.0,154.0,23.3,6.01
Marshall Islands,OCEANIA,2000,Male,290.0,82.8,17.2,7.89,0.0,6.51,7.32,542.0,0.0,40.0,134.0,302.0,8.7,3.1
Mauritania,SUB-SAHARAN AFRICA,2000,Male,2.63,59.0,41.0,81.0,58.4,2.98,4.71,528.0,66.8,40.3,417.0,367.0,87.4,54.9
Mauritius,SUB-SAHARAN AFRICA,2000,Male,584.0,54.7,45.3,44.0,67.8,3.41,8.69,941.0,75.2,38.6,428.0,262.0,141.0,28.6
Mexico,LATIN AMER. & CARIB,2000,Male,52.3,42.1,57.9,52.2,71.9,4.11,8.76,1380.0,80.8,36.1,487.0,288.0,4510.0,13600.0
"Micronesia, Fed. Sts.",OCEANIA,2000,Male,153.0,95.2,4.83,4.82,66.7,23.6,11.6,521.0,0.0,42.4,422.0,259.0,18.2,6.54
Moldova,C.W. OF IND. STATES,2000,Male,128.0,64.2,35.8,47.2,63.0,5.38,10.1,622.0,46.6,43.4,389.0,315.0,806.0,468.0
Monaco,WESTERN EUROPE,2000,Male,21500.0,89.5,10.5,7.01,0.0,1.17,0.0,1970.0,0.0,40.0,9.7,0.0,0.0,0.0
Mongolia,ASIA (EX. NEAR EAST),2000,Male,1.54,79.5,20.5,17.7,60.1,5.53,7.78,593.0,63.2,32.0,420.0,278.0,519.0,274.0
Morocco,NORTHERN AFRICA,2000,Male,64.6,32.2,67.8,54.1,67.2,5.5,5.43,715.0,67.4,55.4,403.0,322.0,1470.0,338.0
Mozambique,SUB-SAHARAN AFRICA,2000,Male,23.0,67.1,32.9,16.4,46.6,2.38,3.4,392.0,66.6,52.1,440.0,491.0,1220.0,1110.0
Namibia,SUB-SAHARAN AFRICA,2000,Male,2.31,71.0,29.0,3.17,53.1,6.52,6.76,541.0,52.8,51.4,412.0,388.0,246.0,371.0
Nauru,OCEANIA,2000,Male,502.0,78.3,21.6,4.11,0.0,0.0,0.0,555.0,0.0,40.0,71.1,0.0,0.0,0.0
Nepal,ASIA (EX. NEAR EAST),2000,Male,166.0,17.3,82.7,55.8,61.3,2.01,6.03,655.0,88.6,25.8,407.0,495.0,2890.0,562.0
Netherlands,WESTERN EUROPE,2000,Male,472.0,71.0,29.0,9.45,75.6,4.03,11.7,3430.0,71.2,51.9,324.0,159.0,1950.0,228.0
New Zealand,OCEANIA,2000,Male,14.7,77.2,22.8,15.4,75.8,6.78,12.5,659.0,68.6,38.2,391.0,197.0,510.0,62.9
Nicaragua,LATIN AMER. & CARIB,2000,Male,41.8,64.4,35.6,44.1,67.0,2.77,6.16,974.0,78.6,39.4,509.0,333.0,417.0,541.0
Niger,SUB-SAHARAN AFRICA,2000,Male,8.96,39.9,60.1,60.8,49.3,2.87,2.51,447.0,88.5,34.9,433.0,499.0,398.0,254.0
Nigeria,SUB-SAHARAN AFRICA,2000,Male,134.0,25.6,74.5,72.9,45.4,0.85,7.29,865.0,60.1,53.5,438.0,468.0,5370.0,918.0
North Korea,ASIA (EX. NEAR EAST),2000,Male,190.0,0.0,0.0,0.0,61.2,0.0,11.3,573.0,83.9,37.0,500.0,329.0,2860.0,748.0
Norway,WESTERN EUROPE,2000,Male,12.3,80.3,18.6,17.9,76.1,5.84,12.2,1300.0,70.2,35.1,336.0,158.0,615.0,50.5
Oman,NEAR EAST,2000,Male,7.33,84.0,16.0,11.7,70.4,3.71,8.19,917.0,74.4,40.0,414.0,352.0,55.0,13.2
Pakistan,ASIA (EX. NEAR EAST),2000,Male,180.0,25.7,74.3,61.5,62.0,2.18,5.89,1020.0,79.1,24.5,502.0,284.0,5820.0,7150.0
Palau,OCEANIA,2000,Male,41.7,77.0,23.0,16.2,0.0,0.0,0.0,840.0,0.0,40.0,41.6,0.0,0.0,0.0
Panama,LATIN AMER. & CARIB,2000,Male,40.8,68.0,32.0,27.4,72.6,4.64,9.22,848.0,72.0,40.1,406.0,209.0,183.0,312.0
Papua New Guinea,OCEANIA,2000,Male,12.3,86.2,13.8,9.07,59.5,6.9,6.4,547.0,70.5,28.4,424.0,516.0,738.0,399.0
Paraguay,LATIN AMER. & CARIB,2000,Male,13.3,36.0,64.0,45.8,67.9,4.86,7.27,836.0,79.5,40.8,374.0,207.0,228.0,789.0
Peru,LATIN AMER. & CARIB,2000,Male,20.2,54.4,45.6,38.3,68.0,3.15,9.59,1210.0,75.9,53.0,372.0,297.0,981.0,1060.0
Philippines,ASIA (EX. NEAR EAST),2000,Male,262.0,39.5,60.5,41.2,64.2,2.57,8.8,963.0,75.1,28.5,432.0,297.0,3800.0,12200.0
Poland,EASTERN EUROPE,2000,Male,126.0,72.9,27.1,31.1,69.5,4.64,11.2,1250.0,54.3,29.5,369.0,205.0,7190.0,1120.0
Portugal,WESTERN EUROPE,2000,Male,113.0,62.6,37.4,25.0,73.2,4.96,8.24,1690.0,67.5,58.1,373.0,203.0,1410.0,238.0
Qatar,NEAR EAST,2000,Male,51.0,62.6,37.4,30.0,75.4,2.06,6.98,1140.0,90.7,40.0,433.0,152.0,49.4,6.17
Romania,EASTERN EUROPE,2000,Male,96.1,68.7,31.3,19.4,66.8,2.82,10.7,816.0,65.8,40.5,372.0,189.0,2770.0,767.0
Russia,C.W. OF IND. STATES,2000,Male,8.94,73.9,26.1,30.2,58.9,3.55,11.1,1450.0,62.1,52.8,419.0,313.0,74700.0,46500.0
Rwanda,SUB-SAHARAN AFRICA,2000,Male,325.0,36.5,63.5,24.9,47.6,3.34,4.34,436.0,88.4,42.5,420.0,436.0,708.0,385.0
Samoa,OCEANIA,2000,Male,61.7,70.9,29.1,12.0,66.3,3.55,10.9,1400.0,41.0,42.1,440.0,450.0,22.7,7.93
San Marino,WESTERN EUROPE,2000,Male,457.0,86.7,13.3,26.6,0.0,3.55,0.0,1420.0,0.0,40.0,15.3,0.0,0.0,0.0
Sao Tome and Principe,SUB-SAHARAN AFRICA,2000,Male,144.0,32.2,67.8,35.6,61.5,2.52,5.57,865.0,64.9,32.1,430.0,314.0,2.25,7.14
Saudi Arabia,NEAR EAST,2000,Male,9.66,52.1,47.9,18.5,70.9,7.19,9.75,851.0,72.7,40.0,416.0,333.0,507.0,80.5
Senegal,SUB-SAHARAN AFRICA,2000,Male,51.3,32.5,67.5,55.4,56.2,3.06,3.81,498.0,67.9,53.8,512.0,468.0,614.0,122.0
Serbia,EASTERN EUROPE,2000,Male,108.0,70.9,29.1,29.6,69.2,4.39,9.05,1360.0,58.4,33.7,374.0,197.0,2110.0,395.0
Seychelles,SUB-SAHARAN AFRICA,2000,Male,176.0,85.2,14.8,17.6,67.4,5.23,8.91,820.0,0.0,41.3,409.0,261.0,8.56,7.49
Sierra Leone,SUB-SAHARAN AFRICA,2000,Male,63.2,9.41,90.6,75.7,37.7,5.08,4.21,735.0,62.0,41.2,514.0,480.0,180.0,62.9
