Country,Region,Year,Gender,Population Density,Health Expenditure Govt,Health Expenditure Pvt,Health Expenditure Indv,Life Expectancy,Education Expenditure,Mean years in school,Average Income,Employment Rate,Income Inequality,Child Mortality Rate,Adult Mortality Rate,Suicides,Murders
Madagascar,SUB-SAHARAN AFRICA,2001,Female,27.9,59.1,40.9,31.4,60.3,2.32,4.46,574.0,0.0,38.8,437.0,0.0,902.0,422.0
Malawi,SUB-SAHARAN AFRICA,2001,Female,124.0,27.1,72.9,19.3,48.4,3.52,4.5,350.0,0.0,44.8,440.0,0.0,741.0,327.0
Malaysia,ASIA (EX. NEAR EAST),2001,Female,72.1,61.6,38.4,36.0,75.1,5.13,10.5,998.0,0.0,20.0,436.0,0.0,1660.0,569.0
Maldives,ASIA (EX. NEAR EAST),2001,Female,957.0,57.0,43.0,57.5,72.2,3.89,6.8,844.0,0.0,41.3,451.0,0.0,11.4,3.48
Mali,SUB-SAHARAN AFRICA,2001,Female,9.26,39.6,60.4,71.4,49.4,3.21,1.58,603.0,0.0,49.2,494.0,0.0,356.0,262.0
Malta,WESTERN EUROPE,2001,Female,1250.0,68.4,31.6,29.8,79.9,4.03,9.02,783.0,0.0,28.0,451.0,0.0,23.3,5.97
Marshall Islands,OCEANIA,2001,Female,290.0,85.6,14.4,9.2,0.0,6.51,8.04,542.0,0.0,40.0,134.0,0.0,8.84,3.19
Mauritania,SUB-SAHARAN AFRICA,2001,Female,2.71,48.9,51.1,80.2,61.7,2.67,3.96,528.0,0.0,40.3,417.0,0.0,88.9,57.2
Mauritius,SUB-SAHARAN AFRICA,2001,Female,588.0,54.1,45.9,43.8,75.0,2.88,9.01,941.0,0.0,38.6,428.0,0.0,133.0,29.1
Mexico,LATIN AMER. & CARIB,2001,Female,53.0,41.4,58.6,53.4,77.0,4.33,8.98,1380.0,0.0,36.1,487.0,0.0,4600.0,13300.0
"Micronesia, Fed. Sts.",OCEANIA,2001,Female,153.0,94.5,5.46,4.83,68.0,23.6,11.8,521.0,0.0,42.4,419.0,0.0,17.9,6.46
Moldova,C.W. OF IND. STATES,2001,Female,127.0,65.3,34.7,51.9,71.1,5.45,11.3,622.0,0.0,43.4,389.0,0.0,803.0,424.0
Monaco,WESTERN EUROPE,2001,Female,21700.0,89.5,10.5,6.94,0.0,1.16,0.0,1970.0,0.0,40.0,9.7,0.0,0.0,0.0
Mongolia,ASIA (EX. NEAR EAST),2001,Female,1.56,83.4,16.6,21.5,66.6,6.21,8.69,593.0,0.0,32.0,420.0,0.0,538.0,280.0
Morocco,NORTHERN AFRICA,2001,Female,65.4,31.9,68.1,53.3,70.7,5.3,4.25,715.0,0.0,55.4,403.0,0.0,1520.0,355.0
Mozambique,SUB-SAHARAN AFRICA,2001,Female,23.6,60.9,39.1,11.3,50.5,2.73,3.26,393.0,0.0,52.1,440.0,0.0,1200.0,1130.0
Namibia,SUB-SAHARAN AFRICA,2001,Female,2.35,72.4,27.6,3.0,57.1,6.36,7.66,541.0,0.0,51.4,412.0,0.0,245.0,374.0
Nauru,OCEANIA,2001,Female,503.0,81.9,18.1,3.94,0.0,0.0,0.0,555.0,0.0,40.0,71.1,0.0,0.0,0.0
Nepal,ASIA (EX. NEAR EAST),2001,Female,169.0,17.4,82.6,51.3,64.2,2.76,3.97,655.0,0.0,25.8,407.0,0.0,2900.0,583.0
Netherlands,WESTERN EUROPE,2001,Female,475.0,66.2,33.8,9.11,80.8,4.19,12.1,3930.0,0.0,51.9,324.0,0.0,1960.0,229.0
New Zealand,OCEANIA,2001,Female,14.8,76.7,23.3,17.0,81.0,6.94,13.1,659.0,0.0,38.2,391.0,0.0,512.0,62.4
Nicaragua,LATIN AMER. & CARIB,2001,Female,42.4,59.2,40.8,43.1,73.0,2.51,7.17,975.0,0.0,39.4,509.0,0.0,413.0,549.0
Niger,SUB-SAHARAN AFRICA,2001,Female,9.29,37.5,62.5,56.9,51.1,2.71,1.34,447.0,0.0,34.9,433.0,0.0,417.0,269.0
Nigeria,SUB-SAHARAN AFRICA,2001,Female,138.0,20.8,79.2,74.3,47.4,0.85,6.11,867.0,0.0,53.5,438.0,0.0,5340.0,948.0
North Korea,ASIA (EX. NEAR EAST),2001,Female,192.0,0.0,0.0,0.0,69.7,0.0,10.8,573.0,0.0,37.0,500.0,0.0,2890.0,748.0
Norway,WESTERN EUROPE,2001,Female,12.4,80.9,18.6,17.0,81.6,6.27,12.5,1300.0,0.0,35.1,336.0,0.0,611.0,48.5
Oman,NEAR EAST,2001,Female,7.41,83.9,16.1,11.3,74.9,3.57,7.53,917.0,0.0,40.0,414.0,0.0,55.2,13.1
Pakistan,ASIA (EX. NEAR EAST),2001,Female,184.0,27.1,72.9,60.0,63.9,2.01,3.83,1020.0,0.0,24.5,502.0,0.0,5970.0,7280.0
Palau,OCEANIA,2001,Female,42.2,79.0,21.0,16.9,0.0,0.0,0.0,840.0,0.0,40.0,41.6,0.0,0.0,0.0
Panama,LATIN AMER. & CARIB,2001,Female,41.6,64.4,35.6,28.5,77.9,4.42,10.3,848.0,0.0,40.1,406.0,0.0,187.0,323.0
Papua New Guinea,OCEANIA,2001,Female,12.6,86.0,14.0,8.28,64.6,6.9,5.47,547.0,0.0,28.4,424.0,0.0,754.0,412.0
Paraguay,LATIN AMER. & CARIB,2001,Female,13.6,41.7,58.3,48.0,72.6,4.61,8.23,836.0,0.0,40.8,374.0,0.0,242.0,815.0
Peru,LATIN AMER. & CARIB,2001,Female,20.5,54.7,45.3,35.8,73.7,2.95,9.45,1210.0,0.0,53.0,372.0,0.0,968.0,1020.0
Philippines,ASIA (EX. NEAR EAST),2001,Female,267.0,41.0,59.0,44.6,70.5,2.37,9.58,963.0,0.0,28.5,432.0,0.0,3820.0,12800.0
Poland,EASTERN EUROPE,2001,Female,126.0,73.4,26.6,29.0,78.3,4.97,11.7,1260.0,0.0,29.5,369.0,0.0,7260.0,1070.0
Portugal,WESTERN EUROPE,2001,Female,114.0,65.3,34.7,24.5,80.6,5.15,8.88,1690.0,0.0,58.1,373.0,0.0,1410.0,230.0
Qatar,NEAR EAST,2001,Female,53.1,66.9,33.1,27.4,77.9,2.06,9.14,1140.0,0.0,40.0,433.0,0.0,51.4,6.96
Romania,EASTERN EUROPE,2001,Female,95.5,64.6,35.4,18.9,74.6,3.02,10.9,816.0,0.0,40.5,372.0,0.0,2840.0,762.0
Russia,C.W. OF IND. STATES,2001,Female,8.9,71.4,28.6,30.8,71.9,3.55,11.6,1450.0,0.0,52.8,419.0,0.0,74400.0,45600.0
Rwanda,SUB-SAHARAN AFRICA,2001,Female,338.0,40.3,59.7,25.8,50.6,3.46,4.23,437.0,0.0,42.5,420.0,0.0,687.0,380.0
Samoa,OCEANIA,2001,Female,62.0,74.4,25.6,14.0,73.1,3.64,12.4,1400.0,0.0,42.1,437.0,0.0,22.4,7.89
San Marino,WESTERN EUROPE,2001,Female,463.0,86.4,13.6,25.3,0.0,3.55,0.0,1430.0,0.0,40.0,15.3,0.0,0.0,0.0
Sao Tome and Principe,SUB-SAHARAN AFRICA,2001,Female,148.0,24.0,76.0,35.3,65.3,2.42,5.19,866.0,0.0,32.1,428.0,0.0,2.29,7.18
Saudi Arabia,NEAR EAST,2001,Female,9.91,54.6,45.4,18.0,74.5,7.19,8.56,852.0,0.0,40.0,416.0,0.0,533.0,83.2
Senegal,SUB-SAHARAN AFRICA,2001,Female,52.6,36.3,63.7,52.9,59.8,3.12,2.84,498.0,0.0,53.8,512.0,0.0,636.0,126.0
Serbia,EASTERN EUROPE,2001,Female,108.0,70.9,29.1,28.5,75.2,4.39,9.21,1360.0,0.0,33.7,374.0,0.0,2080.0,381.0
Seychelles,SUB-SAHARAN AFRICA,2001,Female,179.0,87.6,12.4,15.4,76.7,5.25,9.07,824.0,0.0,41.3,405.0,0.0,8.58,7.65
Sierra Leone,SUB-SAHARAN AFRICA,2001,Female,65.7,9.06,90.9,71.1,40.8,3.53,2.95,735.0,0.0,41.2,514.0,0.0,190.0,65.2
Singapore,ASIA (EX. NEAR EAST),2001,Female,5740.0,49.0,51.0,55.6,81.2,2.6,11.8,1020.0,0.0,47.0,456.0,0.0,411.0,31.3
Slovenia,EASTERN EUROPE,2001,Female,98.7,76.2,23.8,12.5,80.0,5.25,10.6,1410.0,0.0,21.9,361.0,0.0,627.0,37.4
Solomon Islands,OCEANIA,2001,Female,15.1,92.2,7.79,3.53,64.8,4.52,6.73,364.0,0.0,46.1,505.0,0.0,67.4,23.9
Somalia,SUB-SAHARAN AFRICA,2001,Female,14.8,44.4,55.6,0.0,52.8,0.991,1.64,700.0,0.0,50.9,452.0,0.0,360.0,514.0
South Africa,SUB-SAHARAN AFRICA,2001,Female,38.2,35.9,64.1,14.3,58.3,5.13,9.31,1480.0,0.0,35.2,398.0,0.0,8530.0,23200.0
South Korea,ASIA (EX. NEAR EAST),2001,Female,491.0,41.7,58.3,40.9,80.0,2.97,12.5,570.0,0.0,32.0,503.0,0.0,10300.0,1040.0
South Sudan,SUB-SAHARAN AFRICA,2001,Female,11.4,0.0,0.0,0.0,50.8,1.15,1.16,508.0,0.0,45.0,490.0,0.0,220.0,325.0
Spain,WESTERN EUROPE,2001,Female,83.0,72.4,27.6,24.9,83.0,3.83,11.3,1520.0,0.0,32.3,451.0,0.0,3670.0,432.0
Sri Lanka,ASIA (EX. NEAR EAST),2001,Female,302.0,46.4,53.6,41.1,75.7,2.37,9.92,899.0,0.0,37.2,410.0,0.0,7180.0,1520.0
Suriname,LATIN AMER. & CARIB,2001,Female,3.06,42.4,57.6,22.8,71.6,3.44,7.76,1640.0,0.0,45.6,406.0,0.0,95.2,37.7
Swaziland,SUB-SAHARAN AFRICA,2001,Female,62.4,56.6,43.4,0.0,49.2,0.0,7.74,490.0,0.0,60.5,414.0,0.0,147.0,208.0
Sweden,WESTERN EUROPE,2001,Female,21.7,86.9,13.1,17.1,82.2,6.69,13.1,1370.0,0.0,39.5,325.0,0.0,1420.0,116.0
Switzerland,WESTERN EUROPE,2001,Female,182.0,54.5,45.5,32.7,82.8,4.09,9.68,2700.0,0.0,38.6,345.0,0.0,1560.0,87.9
Syria,NEAR EAST,2001,Female,91.3,35.5,64.5,58.4,75.6,2.6,6.79,1080.0,0.0,46.5,429.0,0.0,318.0,423.0
Tajikistan,C.W. OF IND. STATES,2001,Female,45.2,41.8,58.2,76.5,69.1,2.51,9.28,558.0,0.0,36.4,372.0,0.0,287.0,328.0
Tanzania,SUB-SAHARAN AFRICA,2001,Female,39.6,40.1,59.9,41.7,54.1,2.7,5.74,563.0,0.0,27.9,415.0,0.0,1990.0,2850.0
Thailand,ASIA (EX. NEAR EAST),2001,Female,124.0,47.2,52.8,34.0,74.7,4.79,9.19,932.0,0.0,46.2,438.0,0.0,10300.0,7880.0
Togo,SUB-SAHARAN AFRICA,2001,Female,94.0,32.7,67.3,73.9,54.4,3.89,4.18,683.0,0.0,43.6,427.0,0.0,389.0,148.0
Tonga,OCEANIA,2001,Female,137.0,66.8,33.2,14.9,73.1,3.24,9.88,664.0,0.0,37.7,409.0,0.0,6.87,3.17
Trinidad and Tobago,LATIN AMER. & CARIB,2001,Female,248.0,45.8,54.2,51.3,72.5,3.0,12.0,1230.0,0.0,45.5,406.0,0.0,175.0,182.0
Tunisia,NORTHERN AFRICA,2001,Female,63.0,53.0,47.0,39.4,76.0,5.59,7.82,716.0,0.0,74.2,460.0,0.0,350.0,103.0
Turkey,NEAR EAST,2001,Female,83.4,69.2,30.8,23.4,74.3,2.63,7.41,1220.0,0.0,54.5,380.0,0.0,2470.0,1950.0
Turkmenistan,C.W. OF IND. STATES,2001,Female,9.71,69.7,30.3,61.3,67.9,2.32,11.4,954.0,0.0,35.0,495.0,0.0,541.0,272.0
Tuvalu,OCEANIA,2001,Female,317.0,99.8,0.19,0.6940000000000001,0.0,0.0,0.0,720.0,0.0,39.1,83.4,0.0,0.0,0.0
Uganda,SUB-SAHARAN AFRICA,2001,Female,124.0,26.9,73.1,34.4,50.4,2.87,5.29,464.0,0.0,43.6,511.0,0.0,2770.0,1580.0
Ukraine,C.W. OF IND. STATES,2001,Female,83.6,63.6,36.4,47.2,73.1,4.26,11.2,772.0,0.0,40.1,361.0,0.0,17300.0,6990.0
United Arab Emirates,NEAR EAST,2001,Female,39.8,79.3,20.8,15.1,75.9,0.0,10.4,1040.0,0.0,40.0,434.0,0.0,152.0,46.8
United Kingdom,WESTERN EUROPE,2001,Female,244.0,82.9,17.1,11.4,80.3,3.8,12.5,3570.0,0.0,58.9,312.0,0.0,5710.0,507.0
United States,NORTHERN AMERICA,2001,Female,31.1,45.0,55.0,14.7,79.6,4.75,12.4,2280.0,0.0,52.0,329.0,0.0,36400.0,18400.0
Uruguay,LATIN AMER. & CARIB,2001,Female,19.0,53.0,47.0,24.1,78.7,2.22,9.72,1760.0,0.0,54.7,406.0,0.0,589.0,155.0
Uzbekistan,C.W. OF IND. STATES,2001,Female,59.2,68.1,31.9,53.9,70.6,9.37,10.3,503.0,0.0,33.9,381.0,0.0,2720.0,942.0
Vanuatu,OCEANIA,2001,Female,15.5,72.1,27.9,7.43,69.7,5.39,7.3,586.0,0.0,37.6,401.0,0.0,29.5,2.55
Venezuela,LATIN AMER. & CARIB,2001,Female,28.3,42.4,57.6,48.0,76.7,4.0,9.6,683.0,0.0,62.8,415.0,0.0,2220.0,7470.0
Vietnam,ASIA (EX. NEAR EAST),2001,Female,262.0,32.6,67.4,31.6,78.4,3.18,7.92,862.0,0.0,34.2,417.0,0.0,7350.0,1670.0
Yemen,NEAR EAST,2001,Female,34.8,43.7,56.3,44.6,62.1,3.6,2.26,902.0,0.0,50.1,540.0,0.0,787.0,538.0
Zambia,SUB-SAHARAN AFRICA,2001,Female,14.6,62.0,38.0,26.8,47.1,2.02,5.99,680.0,0.0,54.5,410.0,0.0,914.0,1020.0
Zimbabwe,SUB-SAHARAN AFRICA,2001,Female,32.0,51.4,48.6,36.5,46.0,5.63,8.51,879.0,0.0,27.5,396.0,0.0,1600.0,1190.0
Afghanistan,ASIA (EX. NEAR EAST),2002,Male,33.7,5.62,94.4,85.4,55.5,2.47,3.95,604.0,80.2,30.5,470.0,538.0,1360.0,3990.0
Albania,EASTERN EUROPE,2002,Male,114.0,39.2,60.8,64.1,71.9,2.93,9.35,668.0,59.7,38.9,375.0,161.0,191.0,189.0
Algeria,NORTHERN AFRICA,2002,Male,13.4,74.3,25.6,22.5,69.9,4.47,7.54,726.0,54.9,56.2,460.0,336.0,1140.0,471.0
Andorra,WESTERN EUROPE,2002,Male,149.0,66.2,33.8,48.1,0.0,2.01,13.4,1220.0,0.0,40.0,12.9,0.0,6.09,0.45
Angola,SUB-SAHARAN AFRICA,2002,Male,14.1,77.9,22.1,49.7,46.9,2.84,4.69,648.0,63.3,57.2,486.0,508.0,863.0,719.0
Antigua and Barbuda,LATIN AMER. & CARIB,2002,Male,196.0,66.0,34.0,27.7,71.4,3.49,11.8,758.0,0.0,40.0,430.0,242.0,1.7,3.63
Argentina,LATIN AMER. & CARIB,2002,Male,13.8,54.5,45.5,29.9,70.5,4.3,10.1,1510.0,60.1,47.7,402.0,243.0,4620.0,2420.0
Armenia,C.W. OF IND. STATES,2002,Male,107.0,24.3,75.7,65.2,68.8,2.43,9.86,515.0,59.0,31.5,365.0,171.0,142.0,126.0
Australia,OCEANIA,2002,Male,2.54,66.9,33.1,19.9,77.6,4.86,13.2,835.0,67.3,38.7,391.0,195.0,2480.0,314.0
Austria,WESTERN EUROPE,2002,Male,98.7,75.7,24.3,18.6,75.7,5.35,10.3,1930.0,64.7,33.4,296.0,207.0,1600.0,81.2
Azerbaijan,C.W. OF IND. STATES,2002,Male,100.0,22.4,77.6,78.4,64.4,3.29,10.7,777.0,61.7,70.5,375.0,221.0,259.0,394.0
Bahamas,LATIN AMER. & CARIB,2002,Male,30.9,41.8,58.2,23.1,69.8,3.84,11.0,1450.0,74.2,40.0,424.0,275.0,8.17,49.9
Bahrain,NEAR EAST,2002,Male,967.0,70.1,29.9,25.7,74.1,3.59,8.8,1300.0,84.9,40.0,440.0,210.0,64.8,17.3
Bangladesh,ASIA (EX. NEAR EAST),2002,Male,1050.0,42.3,57.7,62.3,66.0,1.25,5.56,875.0,83.6,28.0,508.0,252.0,12400.0,4490.0
Barbados,LATIN AMER. & CARIB,2002,Male,631.0,65.2,34.8,36.5,71.3,5.39,9.36,915.0,68.7,40.0,490.0,243.0,13.6,25.3
Belarus,C.W. OF IND. STATES,2002,Male,48.3,82.3,17.7,23.0,62.1,5.42,10.6,611.0,65.6,55.6,366.0,230.0,4240.0,1260.0
Belgium,WESTERN EUROPE,2002,Male,342.0,75.4,24.6,0.0,75.2,5.71,11.6,2420.0,56.3,41.7,321.0,194.0,2350.0,199.0
Belize,LATIN AMER. & CARIB,2002,Male,11.5,58.0,42.0,40.6,65.7,5.05,8.09,580.0,75.7,60.3,429.0,184.0,16.3,48.4
Benin,SUB-SAHARAN AFRICA,2002,Male,64.7,42.1,57.9,52.7,54.4,2.65,4.97,598.0,77.9,40.7,430.0,430.0,538.0,203.0
Bhutan,ASIA (EX. NEAR EAST),2002,Male,15.9,69.2,30.8,10.3,62.3,3.93,5.89,630.0,73.1,40.9,459.0,508.0,36.6,10.2
Bolivia,LATIN AMER. & CARIB,2002,Male,7.99,66.0,34.0,33.0,59.8,6.19,9.07,855.0,78.5,39.2,405.0,397.0,578.0,572.0
Bosnia and Herzegovina,EASTERN EUROPE,2002,Male,74.0,44.5,55.5,36.0,72.1,0.0,9.07,670.0,45.3,30.0,379.0,217.0,367.0,131.0
Botswana,SUB-SAHARAN AFRICA,2002,Male,3.14,56.5,43.5,11.8,47.2,7.73,6.62,398.0,56.8,47.0,397.0,341.0,330.0,268.0
Brazil,LATIN AMER. & CARIB,2002,Male,21.6,43.0,57.0,38.4,67.1,3.71,6.55,1110.0,73.5,37.9,417.0,274.0,11000.0,54100.0
Brunei,ASIA (EX. NEAR EAST),2002,Male,65.8,81.2,18.8,16.4,74.1,3.32,13.8,1510.0,74.7,40.0,455.0,210.0,12.8,4.56
Bulgaria,EASTERN EUROPE,2002,Male,72.5,71.7,28.3,39.8,68.6,3.19,10.1,1090.0,45.7,38.9,364.0,172.0,1480.0,284.0
Burkina Faso,SUB-SAHARAN AFRICA,2002,Male,44.9,41.1,58.9,38.3,50.2,3.46,2.72,480.0,85.5,38.1,455.0,470.0,724.0,112.0
Burundi,SUB-SAHARAN AFRICA,2002,Male,263.0,28.8,71.2,41.2,50.3,2.78,4.17,422.0,79.8,35.1,424.0,438.0,636.0,66.2
Cambodia,ASIA (EX. NEAR EAST),2002,Male,71.6,23.7,76.3,60.5,58.0,1.69,5.85,905.0,83.8,42.0,380.0,602.0,718.0,520.0
Cameroon,SUB-SAHARAN AFRICA,2002,Male,34.0,21.1,78.9,72.9,50.2,2.72,7.12,627.0,76.2,41.9,460.0,403.0,1440.0,597.0
Canada,NORTHERN AMERICA,2002,Male,3.44,70.1,29.9,15.9,77.0,4.98,13.0,1410.0,66.8,44.8,333.0,188.0,4190.0,483.0
Cape Verde,SUB-SAHARAN AFRICA,2002,Male,112.0,82.1,17.9,23.5,69.1,4.97,6.47,530.0,70.9,52.5,395.0,345.0,58.3,55.7
Central African Republic,SUB-SAHARAN AFRICA,2002,Male,6.27,37.4,62.6,43.9,42.5,1.6,5.29,425.0,74.5,57.6,444.0,445.0,350.0,241.0
Chad,SUB-SAHARAN AFRICA,2002,Male,7.15,35.2,64.8,64.7,46.7,2.06,3.81,419.0,76.9,28.2,432.0,453.0,451.0,235.0
Chile,LATIN AMER. & CARIB,2002,Male,21.0,37.3,62.7,42.5,74.2,3.68,10.9,1030.0,67.2,48.4,417.0,292.0,1940.0,779.0
China,ASIA (EX. NEAR EAST),2002,Male,138.0,44.2,55.8,62.9,71.4,1.79,9.45,985.0,77.9,37.1,417.0,232.0,189000.0,38700.0
Colombia,LATIN AMER. & CARIB,2002,Male,37.5,64.9,35.1,11.7,67.9,4.25,8.29,964.0,70.6,59.1,417.0,261.0,3230.0,26200.0
Comoros,SUB-SAHARAN AFRICA,2002,Male,306.0,66.9,33.1,78.7,58.0,3.74,5.7,704.0,48.9,34.1,416.0,440.0,21.9,36.6
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,2002,Male,22.0,4.95,95.0,68.4,49.9,1.14,6.12,507.0,71.3,40.4,423.0,430.0,2780.0,1940.0
"Congo, Rep.",SUB-SAHARAN AFRICA,2002,Male,9.98,59.8,40.2,61.4,51.0,3.83,7.36,593.0,57.0,56.4,409.0,336.0,227.0,159.0
Costa Rica,LATIN AMER. & CARIB,2002,Male,79.6,75.4,24.6,30.7,75.4,4.17,8.24,776.0,76.1,42.1,441.0,180.0,284.0,259.0
Cote d'Ivoire,SUB-SAHARAN AFRICA,2002,Male,54.6,23.5,76.5,49.1,46.0,4.41,5.15,849.0,77.0,40.3,428.0,421.0,1470.0,350.0
Croatia,EASTERN EUROPE,2002,Male,78.6,84.5,15.5,18.6,71.4,3.49,8.74,1190.0,52.7,16.3,367.0,255.0,994.0,98.1
Cuba,LATIN AMER. & CARIB,2002,Male,105.0,90.0,9.96,19.4,75.2,8.14,10.9,981.0,66.2,40.0,393.0,152.0,1810.0,656.0
Cyprus,NEAR EAST,2002,Male,106.0,35.2,64.8,52.8,76.2,5.24,11.9,855.0,69.4,30.1,339.0,139.0,44.2,18.8
Czech Republic,EASTERN EUROPE,2002,Male,133.0,90.3,9.71,10.0,72.1,3.7,11.1,1920.0,65.0,22.8,380.0,214.0,1780.0,194.0
Denmark,WESTERN EUROPE,2002,Male,127.0,82.3,17.7,14.7,74.8,7.78,11.3,2050.0,69.1,37.2,367.0,161.0,903.0,72.6
Djibouti,SUB-SAHARAN AFRICA,2002,Male,32.2,61.5,38.5,42.8,55.8,8.05,7.43,779.0,71.8,36.5,445.0,369.0,26.9,51.1
Dominica,LATIN AMER. & CARIB,2002,Male,93.1,71.3,28.8,36.6,0.0,5.0,10.6,664.0,0.0,40.0,139.0,154.0,2.51,4.48
Dominican Republic,LATIN AMER. & CARIB,2002,Male,183.0,26.3,73.7,53.5,68.0,1.88,7.94,668.0,77.5,39.9,445.0,242.0,501.0,998.0
Ecuador,LATIN AMER. & CARIB,2002,Male,52.6,53.3,46.8,62.9,70.5,1.72,8.51,530.0,77.5,41.9,406.0,255.0,995.0,2400.0
Egypt,NORTHERN AFRICA,2002,Male,72.9,38.7,61.3,63.8,66.6,4.41,8.94,792.0,67.2,34.0,405.0,263.0,2230.0,381.0
El Salvador,LATIN AMER. & CARIB,2002,Male,287.0,38.6,61.4,49.7,64.9,2.8,7.53,976.0,72.4,41.2,462.0,327.0,561.0,3120.0
Equatorial Guinea,SUB-SAHARAN AFRICA,2002,Male,23.8,48.0,52.0,76.1,52.1,1.0,6.61,361.0,59.0,40.0,447.0,479.0,38.6,25.2
Eritrea,SUB-SAHARAN AFRICA,2002,Male,35.8,42.2,57.8,44.9,54.6,1.41,5.36,533.0,80.8,40.0,441.0,445.0,246.0,278.0
Estonia,BALTICS,2002,Male,32.6,89.2,10.8,20.6,65.7,4.94,8.73,950.0,56.6,47.8,362.0,272.0,454.0,176.0
Ethiopia,SUB-SAHARAN AFRICA,2002,Male,70.5,40.9,59.1,37.2,52.0,2.33,5.14,523.0,87.1,47.7,448.0,444.0,5200.0,6880.0
Fiji,OCEANIA,2002,Male,44.6,82.7,17.3,12.3,65.4,5.53,10.2,786.0,70.1,35.3,499.0,281.0,101.0,47.8
Finland,WESTERN EUROPE,2002,Male,17.2,72.1,27.9,22.0,74.8,5.55,10.8,1270.0,59.0,47.1,385.0,251.0,1220.0,130.0
France,WESTERN EUROPE,2002,Male,110.0,79.6,20.4,7.14,75.6,4.91,10.9,1840.0,57.9,73.3,312.0,209.0,13400.0,774.0
Gabon,SUB-SAHARAN AFRICA,2002,Male,5.02,40.0,60.0,54.1,58.3,3.06,8.19,391.0,49.4,46.3,436.0,391.0,106.0,63.6
Gambia,SUB-SAHARAN AFRICA,2002,Male,130.0,29.7,70.3,33.5,55.7,1.51,5.37,818.0,64.1,39.6,460.0,490.0,47.9,17.1
Georgia,C.W. OF IND. STATES,2002,Male,66.6,18.7,81.3,80.2,68.7,3.28,11.2,544.0,63.3,26.9,387.0,247.0,294.0,179.0
Germany,WESTERN EUROPE,2002,Male,234.0,80.6,19.4,12.4,75.4,4.1,11.1,1770.0,60.9,50.8,340.0,158.0,13200.0,919.0
Ghana,SUB-SAHARAN AFRICA,2002,Male,87.6,54.6,45.4,53.7,56.6,5.92,6.99,702.0,71.0,47.0,471.0,376.0,992.0,808.0
Greece,WESTERN EUROPE,2002,Male,87.0,52.8,47.2,39.4,76.3,2.7,11.3,1400.0,60.8,51.6,361.0,173.0,426.0,115.0
Grenada,LATIN AMER. & CARIB,2002,Male,300.0,43.5,56.5,54.7,68.4,4.08,9.36,960.0,0.0,40.0,432.0,264.0,6.44,5.42
Guatemala,LATIN AMER. & CARIB,2002,Male,114.0,37.1,62.9,61.8,65.5,2.18,6.24,858.0,83.6,37.4,503.0,328.0,1270.0,4180.0
Guinea,SUB-SAHARAN AFRICA,2002,Male,37.2,20.3,79.7,46.7,51.4,2.4,4.28,451.0,64.0,34.4,449.0,496.0,448.0,238.0
Guinea-Bissau,SUB-SAHARAN AFRICA,2002,Male,46.0,33.5,66.5,47.4,51.8,2.04,3.65,778.0,75.4,49.5,417.0,443.0,95.1,88.2
Guyana,LATIN AMER. & CARIB,2002,Male,3.82,80.1,19.9,15.7,62.5,7.68,8.79,1220.0,70.5,39.5,429.0,299.0,177.0,133.0
Haiti,LATIN AMER. & CARIB,2002,Male,321.0,39.4,60.6,48.2,56.4,1.46,6.13,634.0,62.8,47.5,486.0,401.0,724.0,819.0
Honduras,LATIN AMER. & CARIB,2002,Male,61.3,48.6,51.4,50.4,68.6,4.29,6.6,676.0,82.8,58.5,393.0,338.0,213.0,1920.0
Hungary,EASTERN EUROPE,2002,Male,112.0,81.3,18.7,27.5,68.1,4.91,11.1,1250.0,54.0,36.2,368.0,202.0,2980.0,284.0
Iceland,WESTERN EUROPE,2002,Male,2.85,84.9,15.1,18.6,78.5,6.6,9.77,928.0,79.4,25.8,412.0,170.0,36.6,2.74
India,ASIA (EX. NEAR EAST),2002,Male,367.0,25.1,74.9,73.4,62.6,3.77,7.26,1050.0,79.1,32.1,509.0,349.0,209000.0,46400.0
Indonesia,ASIA (EX. NEAR EAST),2002,Male,120.0,35.0,65.0,44.7,64.8,1.91,8.29,996.0,80.2,40.8,444.0,261.0,7840.0,4460.0
Iran,ASIA (EX. NEAR EAST),2002,Male,41.7,48.5,51.5,54.7,69.8,4.52,10.1,978.0,65.7,59.2,506.0,333.0,4830.0,1970.0
Iraq,NEAR EAST,2002,Male,57.4,0.39,99.6,54.6,66.8,4.6,6.84,971.0,64.5,41.9,428.0,261.0,1890.0,1990.0
Ireland,WESTERN EUROPE,2002,Male,57.7,74.9,25.1,10.5,75.1,4.42,12.1,1450.0,67.7,38.6,348.0,185.0,504.0,40.2
Israel,NEAR EAST,2002,Male,288.0,69.6,30.4,27.8,77.3,6.4,12.9,881.0,59.4,34.7,448.0,138.0,578.0,236.0
Italy,WESTERN EUROPE,2002,Male,197.0,70.8,29.1,24.1,77.1,4.17,11.7,2290.0,56.9,56.1,456.0,175.0,4780.0,660.0
Jamaica,LATIN AMER. & CARIB,2002,Male,249.0,56.2,43.8,26.4,70.0,5.2,10.6,1170.0,68.9,41.3,390.0,177.0,55.6,396.0
Japan,ASIA (EX. NEAR EAST),2002,Male,351.0,81.2,18.8,16.0,78.1,3.05,13.2,1070.0,71.0,46.8,363.0,160.0,31500.0,1090.0
